filename,full_path,suggested_filename,suggested_folder,suggested_full_path,reason
insightforge-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/insightforge-talking-head-youtube-v1.mp4,insightforge-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video,/home/iedrees/Workspace/nextgenwebs-video/insightforge-talking-head-youtube-v1.mp4,folder does not match file type rules
tiling-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-audio/tiling-talking-head-youtube-v1.mp4,tiling-talking-head-youtube-v1.mp4,/home/iedrees/Workspace/nextgenwebs-video,/home/iedrees/Workspace/nextgenwebs-video/tiling-talking-head-youtube-v1.mp4,folder does not match file type rules
